秒數,韌體值
1033,1.971102941
1034,2.149852941
1035,2.324558824
1036,2.426470588
1037,2.359338235
1038,2.13125
1039,1.877279412
1040,1.744632353
1041,1.758382353
1042,1.865955882
1043,2.024485294
1044,2.202426471
1045,2.379558824
1046,2.541323529
1047,2.623823529
1048,2.583382353
1049,2.506544118
1050,2.460441176
1051,2.440220588
1052,2.450735294
1053,2.495220588
1054,2.562352941
1055,2.639191176
1056,2.716029412
1057,2.786397059
1058,2.792058824
1059,2.643235294
1060,2.403823529
1061,2.233970588
1062,2.179779412
1063,2.209705882
1064,2.289779412
1065,2.397352941
1066,2.513014706
1067,2.569632353
1068,2.525147059
1069,2.46125
1070,2.43375
1071,2.437794118
1072,2.470147059
1073,2.525147059
1074,2.587426471
1075,2.648897059
1076,2.709558824
1077,2.769411765
1078,2.768602941
1079,2.613308824
1080,2.369852941
1081,2.202426471
1082,2.157132353
1083,2.194338235
1084,2.229926471
1085,2.166029412
1086,2.001838235
1087,1.786691176
1088,1.548088235
1089,1.310294118
1090,1.091911765
1091,0.908308824
1092,0.807205882
1093,0.860588235
1094,1.061176471
1095,1.343455882
1096,1.653235294
1097,1.957352941
1098,2.178970588
1099,2.273602941
1100,2.333455882
1101,2.420808824
1102,2.517058824
1103,2.613308824
1104,2.644044118
1105,2.572867647
1106,2.500882353
1107,2.435367647
1108,2.312426471
1109,2.204852941
1110,2.166838235
1111,2.178970588
1112,2.229926471
1113,2.312426471
1114,2.415955882
1115,2.525147059
1116,2.568823529
1117,2.455588235
1118,2.255808824
1119,2.073823529
1120,1.917720588
1121,1.845735294
1122,1.888602941
1123,2.002647059
1124,2.154705882
1125,2.318088235
1126,2.476617647
1127,2.618161765
1128,2.685294118
1129,2.594705882
1130,2.366617647
1131,2.074632353
1132,1.810147059
1133,1.6775
1134,1.69125
1135,1.796397059
1136,1.949264706
1137,2.126397059
1138,2.251764706
1139,2.221029412
1140,2.09
1141,2.016397059
1142,2.042279412
1143,2.132867647
1144,2.207279412
1145,2.166029412
1146,2.005882353
1147,1.781029412
1148,1.573970588
1149,1.489852941
1150,1.542426471
1151,1.6775
1152,1.857058824
1153,2.054411765
1154,2.244485294
1155,2.415955882
1156,2.512205882
1157,2.441029412
1158,2.265514706
1159,2.151470588
1160,2.144191176
1161,2.204852941
1162,2.301911765
1163,2.413529412
1164,2.472573529
1165,2.381985294
1166,2.145808824
1167,1.836838235
1168,1.552132353
1169,1.405735294
1170,1.413823529
1171,1.519779412
1172,1.681544118
1173,1.878088235
1174,2.081102941
1175,2.273602941
1176,2.449926471
1177,2.549411765
1178,2.478235294
1179,2.242867647
1180,1.976764706
1181,1.825514706
1182,1.814191176
1183,1.898308824
1184,2.038235294
1185,2.204852941
1186,2.317279412
1187,2.331838235
1188,2.331838235
1189,2.365
1190,2.407867647
1191,2.457205882
1192,2.515441176
1193,2.585
1194,2.661029412
1195,2.73625
1196,2.745955882
1197,2.59875
1198,2.305147059
1199,1.998602941
1200,1.819044118
1201,1.790735294
1202,1.864338235
1203,2.000220588
1204,2.164411765
1205,2.334264706
1206,2.495220588
1207,2.579338235
1208,2.54375
1209,2.478235294
1210,2.446691176
1211,2.435367647
1212,2.442647059
1213,2.478235294
1214,2.537279412
1215,2.606838235
1216,2.68125
1217,2.752426471
1218,2.761323529
1219,2.672352941
1220,2.584191176
1221,2.559926471
1222,2.577720588
1223,2.618970588
1224,2.669926471
1225,2.724926471
1226,2.780735294
1227,2.8325
1228,2.868897059
1229,2.871323529
1230,2.847058824
1231,2.813088235
1232,2.783161765
1233,2.766176471
1234,2.765367647
1235,2.774264706
1236,2.730588235
1237,2.547794118
1238,2.295441176
1239,2.132058824
1240,2.096470588
1241,2.144191176
1242,2.24125
1243,2.360955882
1244,2.443455882
1245,2.410294118
1246,2.262279412
1247,2.046323529
1248,1.802058824
1249,1.550514706
1250,1.305441176
1251,1.087058824
1252,0.950367647
1253,0.975441176
1254,1.148529412
1255,1.399264706
1256,1.683970588
1257,1.970294118
1258,2.176544118
1259,2.197573529
1260,2.096470588
1261,2.035808824
1262,2.060073529
1263,2.136911765
1264,2.195955882
1265,2.139338235
1266,1.962205882
1267,1.729264706
1268,1.480147059
1269,1.235073529
1270,1.014264706
1271,0.829044118
1272,0.72875
1273,0.792647059
1274,1.009411765
1275,1.305441176
1276,1.627352941
1277,1.941985294
1278,2.226691176
1279,2.470147059
1280,2.666691176
1281,2.817132353
1282,2.925514706
1283,2.996691176
1284,2.989411765
1285,2.831691176
1286,2.534044118
1287,2.170882353
1288,1.848161765
1289,1.670220588
1290,1.644338235
1291,1.717132353
1292,1.848970588
1293,2.017205882
1294,2.202426471
1295,2.381985294
1296,2.542941176
1297,2.679632353
1298,2.792058824
1299,2.820367647
1300,2.733823529
1301,2.638382353
1302,2.600367647
1303,2.599558824
1304,2.568014706
1305,2.422426471
1306,2.1725
1307,1.874852941
1308,1.614411765
1309,1.485808824
1310,1.486617647
1311,1.565073529
1312,1.694485294
1313,1.865955882
1314,2.061691176
1315,2.259044118
1316,2.442647059
1317,2.546176471
1318,2.531617647
1319,2.500882353
1320,2.517058824
1321,2.560735294
1322,2.618161765
1323,2.680441176
1324,2.686911765
1325,2.552647059
1326,2.292205882
1327,1.975955882
1328,1.69125
1329,1.537573529
1330,1.527867647
1331,1.618455882
1332,1.767279412
1333,1.950882353
1334,2.145
1335,2.329411765
1336,2.495220588
1337,2.640808824
1338,2.701470588
1339,2.645661765
1340,2.577720588
1341,2.566397059
1342,2.589852941
1343,2.635955882
1344,2.634338235
1345,2.487132353
1346,2.258235294
1347,2.053602941
1348,1.875661765
1349,1.776176471
1350,1.781029412
1351,1.857867647
1352,1.986470588
1353,2.142573529
1354,2.304338235
1355,2.456397059
1356,2.535661765
1357,2.5025
1358,2.459632353
1359,2.417573529
1360,2.32375
1361,2.257426471
1362,2.267941176
1363,2.329411765
1364,2.369044118
1365,2.293823529
1366,2.10375
1367,1.859485294
1368,1.642720588
1369,1.54
1370,1.561029412
1371,1.662941176
1372,1.810147059
1373,1.981617647
1374,2.167647059
1375,2.352867647
1376,2.521102941
1377,2.609264706
1378,2.525955882
1379,2.279264706
1380,2.002647059
1381,1.844117647
1382,1.833602941
1383,1.917720588
1384,2.054411765
1385,2.215367647
1386,2.321323529
1387,2.263897059
1388,2.055220588
1389,1.789117647
1390,1.517352941
1391,1.260147059
1392,1.084632353
1393,1.074117647
1394,1.218088235
1395,1.447794118
1396,1.714705882
1397,1.929852941
1398,2.041470588
1399,2.074632353
1400,2.053602941
1401,2.054411765
1402,2.124779412
1403,2.231544118
1404,2.297058824
1405,2.215367647
1406,1.990514706
1407,1.699338235
1408,1.444558824
1409,1.340220588
1410,1.385514706
1411,1.508455882
1412,1.679117647
1413,1.885367647
1414,2.10375
1415,2.312426471
1416,2.439411765
1417,2.390073529
1418,2.235588235
1419,2.140147059
1420,2.145808824
1421,2.215367647
1422,2.318088235
1423,2.431323529
1424,2.500073529
1425,2.449117647
1426,2.280073529
1427,2.049558824
1428,1.836838235
1429,1.722794118
1430,1.717132353
1431,1.782647059
1432,1.895882353
1433,2.043088235
1434,2.205661765
1435,2.367426471
1436,2.517867647
1437,2.593897059
1438,2.556691176
1439,2.508970588
1440,2.514632353
1441,2.552647059
1442,2.609264706
1443,2.674779412
1444,2.687720588
1445,2.568014706
1446,2.332647059
1447,2.042279412
1448,1.727647059
1449,1.417867647
1450,1.14125
1451,0.920441176
1452,0.803161765
1453,0.856544118
1454,1.061985294
1455,1.346691176
1456,1.599044118
1457,1.752720588
1458,1.831176471
1459,1.857058824
1460,1.901544118
1461,2.005073529
1462,2.136102941
1463,2.278455882
1464,2.374705882
1465,2.339117647
1466,2.167647059
1467,1.917720588
1468,1.633823529
1469,1.353161765
1470,1.100808824
1471,0.882426471
1472,0.745735294
1473,0.771617647
1474,0.952794118
1475,1.224558824
1476,1.537573529
1477,1.795588235
1478,1.937941176
1479,2.054411765
1480,2.203235294
1481,2.357720588
1482,2.496838235
1483,2.613308824
1484,2.665882353
1485,2.577720588
1486,2.350441176
1487,2.051985294
1488,1.738970588
1489,1.439705882
1490,1.169558824
1491,0.942279412
1492,0.819338235
1493,0.863823529
1494,1.053897059
1495,1.327279412
1496,1.634632353
1497,1.880514706
1498,1.951691176
1499,1.850588235
1500,1.699338235
1501,1.637867647
1502,1.698529412
1503,1.833602941
1504,1.956544118
1505,1.963014706
1506,1.845735294
1507,1.66375
1508,1.461544118
1509,1.263382353
1510,1.081397059
1511,0.922867647
1512,0.833088235
1513,0.888897059
1514,1.082205882
1515,1.349117647
1516,1.590955882
1517,1.743014706
1518,1.827132353
1519,1.861102941
1520,1.916911765
1521,2.038235294
1522,2.191102941
1523,2.353676471
1524,2.46125
1525,2.432941176
1526,2.265514706
1527,2.008308824
1528,1.710661765
1529,1.412205882
1530,1.138823529
1531,0.909117647
1532,0.779705882
1533,0.821764706
1534,1.019117647
1535,1.298970588
1536,1.605514706
1537,1.850588235
1538,1.926617647
1539,1.831985294
1540,1.688014706
1541,1.633014706
1542,1.697720588
1543,1.838455882
1544,1.971102941
1545,1.988897059
1546,1.886176471
1547,1.713088235
1548,1.508455882
1549,1.298970588
1550,1.098382353
1551,0.918014706
1552,0.816911765
1553,0.875955882
1554,1.083014706
1555,1.363676471
1556,1.606323529
1557,1.748676471
1558,1.879705882
1559,2.051985294
1560,2.237205882
1561,2.415147059
1562,2.572058824
1563,2.699852941
1564,2.753235294
1565,2.652941176
1566,2.40625
1567,2.082720588
1568,1.738970588
1569,1.417058824
1570,1.14125
1571,0.922058824
1572,0.806397059
1573,0.855735294
1574,1.049044118
1575,1.318382353
1576,1.620882353
1577,1.867573529
1578,2.002647059
1579,2.054411765
1580,2.04875
1581,2.060882353
1582,2.135294118
1583,2.245294118
1584,2.369852941
1585,2.436985294
1586,2.348823529
1587,2.111838235
1588,1.803676471
1589,1.485
1590,1.198676471
1591,0.964117647
1592,0.827426471
1593,0.859779412
1594,1.043382353
1595,1.303823529
1596,1.536764706
1597,1.682352941
1598,1.764852941
1599,1.802867647
1600,1.865147059
1601,1.992132353
1602,2.147426471
1603,2.310808824
1604,2.424852941
1605,2.405441176
1606,2.250955882
1607,2.006691176
1608,1.719558824
1609,1.432426471
1610,1.167941176
1611,0.936617647
1612,0.795073529
1613,0.822573529
1614,1.008602941
1615,1.284411765
1616,1.596617647
1617,1.849779412
1618,1.928235294
1619,1.889411765
1620,1.891029412
1621,1.967867647
1622,2.085147059
1623,2.225882353
1624,2.326985294
1625,2.308382353
1626,2.182205882
1627,1.997794118
1628,1.772941176
1629,1.52625
1630,1.281176471
1631,1.062794118
1632,0.930147059
1633,0.956029412
1634,1.133161765
1635,1.391985294
1636,1.679117647
1637,1.964632353
1638,2.229117647
1639,2.403014706
1640,2.4475
1641,2.46125
1642,2.507352941
1643,2.567205882
1644,2.582573529
1645,2.467720588
1646,2.231544118
1647,1.936323529
1648,1.6225
1649,1.325661765
1650,1.066838235
1651,0.861397059
1652,0.760294118
1653,0.826617647
1654,1.041764706
1655,1.329705882
1656,1.639485294
1657,1.941985294
1658,2.220220588
1659,2.401397059
1660,2.449926471
1661,2.466102941
1662,2.517058824
1663,2.580955882
1664,2.596323529
1665,2.481470588
1666,2.240441176
1667,1.933897059
1668,1.615220588
1669,1.318382353
1670,1.057941176
1671,0.846029412
1672,0.732794118
1673,0.785367647
1674,0.992426471
1675,1.284411765
1676,1.607941176
1677,1.925808824
1678,2.157941176
1679,2.259044118
1680,2.32375
1681,2.415147059
1682,2.514632353
1683,2.606029412
1684,2.635955882
1685,2.523529412
1686,2.276838235
1687,1.96625
1688,1.645955882
1689,1.354779412
1690,1.106470588
1691,0.902647059
1692,0.793455882
1693,0.850882353
1694,1.056323529
1695,1.337794118
1696,1.591764706
1697,1.754338235
1698,1.902352941
1699,2.083529412
1700,2.271985294
1701,2.449117647
1702,2.602794118
1703,2.723308824
1704,2.768602941
1705,2.6675
1706,2.436176471
1707,2.137720588
1708,1.817426471
1709,1.514926471
1710,1.252867647
1711,1.040147059
1712,0.917205882
1713,0.951985294
1714,1.133970588
1715,1.396838235
1716,1.687205882
1717,1.975955882
1718,2.24125
1719,2.415147059
1720,2.459632353
1721,2.475
1722,2.520294118
1723,2.576102941
1724,2.580955882
1725,2.459632353
1726,2.225073529
1727,1.931470588
1728,1.621691176
1729,1.335367647
1730,1.095147059
1731,0.905073529
1732,0.807205882
1733,0.868676471
1734,1.066029412
1735,1.33375
1736,1.573970588
1737,1.666985294
1738,1.656470588
1739,1.637867647
1740,1.613602941
1741,1.639485294
1742,1.751102941
1743,1.914485294
1744,2.055220588
1745,2.077058824
1746,1.968676471
1747,1.780220588
1748,1.558602941
1749,1.331323529
1750,1.120220588
1751,0.943897059
1752,0.849264706
1753,0.905073529
1754,1.103235294
1755,1.382279412
1756,1.688823529
1757,1.932279412
1758,2.001029412
1759,1.954926471
1760,1.9525
1761,2.030147059
1762,2.147426471
1763,2.280882353
1764,2.365
1765,2.320514706
1766,2.150661765
1767,1.902352941
1768,1.619264706
1769,1.340220588
1770,1.088676471
1771,0.875147059
1772,0.753823529
1773,0.798308824
1774,0.994852941
1775,1.273897059
1776,1.523014706
1777,1.620073529
1778,1.616838235
1779,1.666176471
1780,1.803676471
1781,1.984044118
1782,2.176544118
1783,2.356102941
1784,2.470147059
1785,2.445073529
1786,2.280882353
1787,2.032573529
1788,1.747058824
1789,1.468823529
1790,1.219705882
1791,1.001323529
1792,0.861397059
1793,0.884044118
1794,1.064411765
1795,1.331323529
1796,1.633823529
1797,1.877279412
1798,1.943602941
1799,1.832794118
1800,1.676691176
1801,1.616029412
1802,1.683161765
1803,1.830367647
1804,1.965441176
1805,1.98
1806,1.875661765
1807,1.713088235
1808,1.525441176
1809,1.332941176
1810,1.151764706
1811,0.981911765
1812,0.875955882
1813,0.919632353
1814,1.105661765
1815,1.369338235
1816,1.603897059
1817,1.688823529
1818,1.614411765
1819,1.447794118
1820,1.2925
1821,1.269852941
1822,1.392794118
1823,1.599044118
1824,1.794779412
1825,1.874852941
1826,1.827132353
1827,1.69125
1828,1.508455882
1829,1.319191176
1830,1.143676471
1831,0.986764706
1832,0.897794118
1833,0.949558824
1834,1.136397059
1835,1.397647059
1836,1.631397059
1837,1.717132353
1838,1.645147059
1839,1.477720588
1840,1.317573529
1841,1.289264706
1842,1.405735294
1843,1.606323529
1844,1.793161765
1845,1.858676471
1846,1.793161765
1847,1.645955882
1848,1.4575
1849,1.260147059
1850,1.0725
1851,0.914779412
1852,0.841176471
1853,0.918823529
1854,1.130735294
1855,1.413014706
1856,1.719558824
1857,2.017205882
1858,2.229926471
1859,2.258235294
1860,2.159558824
1861,2.096470588
1862,2.123161765
1863,2.206470588
1864,2.263897059
1865,2.2
1866,2.014779412
1867,1.765661765
1868,1.500367647
1869,1.254485294
1870,1.038529412
1871,0.854117647
1872,0.757058824
1873,0.816911765
1874,1.019117647
1875,1.303014706
1876,1.561029412
1877,1.724411765
1878,1.871617647
1879,1.997794118
1880,2.042279412
1881,2.088382353
1882,2.190294118
1883,2.318897059
1884,2.40625
1885,2.365808824
1886,2.197573529
1887,1.948455882
1888,1.659705882
1889,1.369338235
1890,1.108897059
1891,0.898602941
1892,0.787794118
1893,0.845220588
1894,1.053088235
1895,1.341838235
1896,1.600661765
1897,1.761617647
1898,1.904779412
1899,2.083529412
1900,2.270367647
1901,2.446691176
1902,2.602794118
1903,2.732205882
1904,2.787205882
1905,2.698235294
1906,2.475808824
1907,2.179779412
1908,1.853823529
1909,1.535147059
1910,1.25125
1911,1.010220588
1912,0.860588235
1913,0.877573529
1914,1.049852941
1915,1.309485294
1916,1.551323529
1917,1.708235294
1918,1.855441176
1919,1.984044118
1920,2.034191176
1921,2.086764706
1922,2.191911765
1923,2.322132353
1924,2.408676471
1925,2.362573529
1926,2.182205882
1927,1.926617647
1928,1.645147059
1929,1.377426471
1930,1.140441176
1931,0.935808824
1932,0.820147059
1933,0.867058824
1934,1.057941176
1935,1.331323529
1936,1.579632353
1937,1.734926471
1938,1.876470588
1939,2.055220588
1940,2.240441176
1941,2.407867647
1942,2.551838235
1943,2.675588235
1944,2.734632353
1945,2.659411765
1946,2.455588235
1947,2.175735294
1948,1.858676471
1949,1.535147059
1950,1.231029412
1951,0.964926471
1952,0.798308824
1953,0.810441176
1954,0.988382353
1955,1.256911765
1956,1.559411765
1957,1.802867647
1958,1.876470588
1959,1.835220588
1960,1.8425
1961,1.937941176
1962,2.080294118
1963,2.237205882
1964,2.348823529
1965,2.330220588
1966,2.176544118
1967,1.950073529
1968,1.696911765
1969,1.442132353
1970,1.205955882
1971,1.002132353
1972,0.884852941
1973,0.929338235
1974,1.121838235
1975,1.391176471
1976,1.628970588
1977,1.71875
1978,1.653235294
1979,1.548088235
1980,1.54
1981,1.650808824
1982,1.827941176
1983,2.031764706
1984,2.225882353
1985,2.382794118
1986,2.498455882
1987,2.582573529
1988,2.604411765
1989,2.500882353
1990,2.276029412
1991,1.987279412
1992,1.730882353
1993,1.616029412
1994,1.647573529
1995,1.763235294
1996,1.924191176
1997,2.108602941
1998,2.239632353
1999,2.212941176
